call_type,arrived,aborted,answered,complete
Type 2,2020-02-15 15:16:02,,2020-02-15 15:16:41,2020-02-15 15:18:28
Type 2,2020-02-15 15:14:52,,2020-02-15 15:15:31,2020-02-15 15:18:31
Type 1,2020-02-15 15:16:47,,2020-02-15 15:17:13,2020-02-15 15:18:38
Type 1,2020-02-15 15:16:51,,2020-02-15 15:17:27,2020-02-15 15:18:53
Type 1,2020-02-15 15:17:29,,2020-02-15 15:17:38,2020-02-15 15:18:57
Type 1,2020-02-15 15:16:52,,2020-02-15 15:17:31,2020-02-15 15:19:00
Type 2,2020-02-15 15:15:03,,2020-02-15 15:15:51,2020-02-15 15:19:05
Type 2,2020-02-15 15:17:52,,2020-02-15 15:17:52,2020-02-15 15:19:18
Type 2,2020-02-15 15:15:44,,2020-02-15 15:16:09,2020-02-15 15:19:21
Type 2,2020-02-15 15:15:32,,2020-02-15 15:16:05,2020-02-15 15:19:25
Type 1,2020-02-15 15:15:53,,2020-02-15 15:16:20,2020-02-15 15:19:32
Type 2,2020-02-15 15:14:59,,2020-02-15 15:15:43,2020-02-15 15:19:37
Type 2,2020-02-15 15:19:45,2020-02-15 15:19:56,,
Type 1,2020-02-15 15:19:38,2020-02-15 15:19:58,,
Type 1,2020-02-15 15:18:06,,2020-02-15 15:18:06,2020-02-15 15:20:13
Type 1,2020-02-15 15:19:14,,2020-02-15 15:19:14,2020-02-15 15:20:20
Type 1,2020-02-15 15:18:24,,2020-02-15 15:18:24,2020-02-15 15:20:39
Type 2,2020-02-15 15:19:14,,2020-02-15 15:19:18,2020-02-15 15:20:44
Type 1,2020-02-15 15:19:11,,2020-02-15 15:19:11,2020-02-15 15:20:48
Type 1,2020-02-15 15:18:52,,2020-02-15 15:18:52,2020-02-15 15:20:54
Type 1,2020-02-15 15:16:14,,2020-02-15 15:16:51,2020-02-15 15:20:54
Type 2,2020-02-15 15:17:43,,2020-02-15 15:17:49,2020-02-15 15:21:00
Type 1,2020-02-15 15:19:26,,2020-02-15 15:19:37,2020-02-15 15:21:21
Type 2,2020-02-15 15:17:29,,2020-02-15 15:17:45,2020-02-15 15:21:22
Type 2,2020-02-15 15:18:42,,2020-02-15 15:18:42,2020-02-15 15:21:23
Type 2,2020-02-15 15:18:31,,2020-02-15 15:18:31,2020-02-15 15:21:31
Type 1,2020-02-15 15:18:11,,2020-02-15 15:18:21,2020-02-15 15:21:31
Type 2,2020-02-15 15:19:25,,2020-02-15 15:19:32,2020-02-15 15:21:37
Type 2,2020-02-15 15:18:58,,2020-02-15 15:18:58,2020-02-15 15:21:43
Type 2,2020-02-15 15:16:27,,2020-02-15 15:17:09,2020-02-15 15:21:53
Type 1,2020-02-15 15:19:45,,2020-02-15 15:20:20,2020-02-15 15:22:06
Type 1,2020-02-15 15:17:20,,2020-02-15 15:17:38,2020-02-15 15:22:15
Type 1,2020-02-15 15:22:14,2020-02-15 15:22:16,,
Type 2,2020-02-15 15:19:15,,2020-02-15 15:19:21,2020-02-15 15:22:25
Type 2,2020-02-15 15:18:58,,2020-02-15 15:18:58,2020-02-15 15:22:34
Type 2,2020-02-15 15:20:40,,2020-02-15 15:20:54,2020-02-15 15:22:37
Type 1,2020-02-15 15:22:49,2020-02-15 15:22:53,,
Type 2,2020-02-15 15:21:42,,2020-02-15 15:21:42,2020-02-15 15:22:57
Type 2,2020-02-15 15:19:15,,2020-02-15 15:19:25,2020-02-15 15:22:59
Type 2,2020-02-15 15:19:43,,2020-02-15 15:20:13,2020-02-15 15:23:00
Type 1,2020-02-15 15:20:23,,2020-02-15 15:20:44,2020-02-15 15:23:04
Type 1,2020-02-15 15:21:47,,2020-02-15 15:21:47,2020-02-15 15:23:10
Type 2,2020-02-15 15:21:44,,2020-02-15 15:21:44,2020-02-15 15:23:13
Type 2,2020-02-15 15:20:19,,2020-02-15 15:20:39,2020-02-15 15:23:18
Type 1,2020-02-15 15:21:51,,2020-02-15 15:22:06,2020-02-15 15:23:31
Type 2,2020-02-15 15:20:38,,2020-02-15 15:20:54,2020-02-15 15:23:40
Type 1,2020-02-15 15:21:48,,2020-02-15 15:21:53,2020-02-15 15:23:41
Type 2,2020-02-15 15:22:42,,2020-02-15 15:22:42,2020-02-15 15:23:58
Type 2,2020-02-15 15:24:20,2020-02-15 15:24:23,,
Type 1,2020-02-15 15:24:20,2020-02-15 15:24:23,,
Type 2,2020-02-15 15:20:55,,2020-02-15 15:21:00,2020-02-15 15:24:27
Type 2,2020-02-15 15:24:17,2020-02-15 15:24:33,,
Type 2,2020-02-15 15:20:31,,2020-02-15 15:20:48,2020-02-15 15:24:39
Type 1,2020-02-15 15:24:20,2020-02-15 15:24:41,,
Type 2,2020-02-15 15:21:04,,2020-02-15 15:21:21,2020-02-15 15:24:44
Type 2,2020-02-15 15:21:45,,2020-02-15 15:21:45,2020-02-15 15:24:47
Type 1,2020-02-15 15:23:01,,2020-02-15 15:23:01,2020-02-15 15:24:49
Type 1,2020-02-15 15:24:29,2020-02-15 15:24:51,,
Type 2,2020-02-15 15:22:46,,2020-02-15 15:22:46,2020-02-15 15:24:54
Type 1,2020-02-15 15:23:30,,2020-02-15 15:23:30,2020-02-15 15:24:59
Type 2,2020-02-15 15:22:37,,2020-02-15 15:22:37,2020-02-15 15:24:59
Type 2,2020-02-15 15:23:11,,2020-02-15 15:23:11,2020-02-15 15:25:00
Type 1,2020-02-15 15:23:20,,2020-02-15 15:23:20,2020-02-15 15:25:03
Type 2,2020-02-15 15:21:20,,2020-02-15 15:21:22,2020-02-15 15:25:05
Type 2,2020-02-15 15:21:21,,2020-02-15 15:21:23,2020-02-15 15:25:05
Type 1,2020-02-15 15:23:49,,2020-02-15 15:23:49,2020-02-15 15:25:16
Type 1,2020-02-15 15:23:38,,2020-02-15 15:23:38,2020-02-15 15:25:19
Type 1,2020-02-15 15:21:56,,2020-02-15 15:22:15,2020-02-15 15:25:22
Type 2,2020-02-15 15:23:29,,2020-02-15 15:23:29,2020-02-15 15:25:38
Type 1,2020-02-15 15:23:58,,2020-02-15 15:24:27,2020-02-15 15:25:40
Type 1,2020-02-15 15:24:06,,2020-02-15 15:24:39,2020-02-15 15:26:10
Type 1,2020-02-15 15:24:17,,2020-02-15 15:24:44,2020-02-15 15:26:16
Type 1,2020-02-15 15:24:26,,2020-02-15 15:24:47,2020-02-15 15:26:24
Type 1,2020-02-15 15:25:00,,2020-02-15 15:25:00,2020-02-15 15:26:27
Type 2,2020-02-15 15:25:18,,2020-02-15 15:25:18,2020-02-15 15:26:29
Type 1,2020-02-15 15:25:30,,2020-02-15 15:25:30,2020-02-15 15:26:39
Type 1,2020-02-15 15:22:59,,2020-02-15 15:22:59,2020-02-15 15:26:51
Type 1,2020-02-15 15:23:57,,2020-02-15 15:23:58,2020-02-15 15:26:55
Type 2,2020-02-15 15:25:50,,2020-02-15 15:25:50,2020-02-15 15:27:18
Type 2,2020-02-15 15:23:33,,2020-02-15 15:23:33,2020-02-15 15:27:34
Type 2,2020-02-15 15:25:36,,2020-02-15 15:25:36,2020-02-15 15:27:46
Type 1,2020-02-15 15:26:11,,2020-02-15 15:26:11,2020-02-15 15:27:52
Type 1,2020-02-15 15:26:15,,2020-02-15 15:26:15,2020-02-15 15:27:56
Type 2,2020-02-15 15:27:58,2020-02-15 15:28:02,,
Type 2,2020-02-15 15:23:43,,2020-02-15 15:23:43,2020-02-15 15:28:08
Type 2,2020-02-15 15:26:41,,2020-02-15 15:26:41,2020-02-15 15:28:28
Type 2,2020-02-15 15:28:21,2020-02-15 15:28:28,,
Type 2,2020-02-15 15:24:48,,2020-02-15 15:24:59,2020-02-15 15:28:32
Type 1,2020-02-15 15:27:15,,2020-02-15 15:27:15,2020-02-15 15:28:33
Type 2,2020-02-15 15:24:43,,2020-02-15 15:24:54,2020-02-15 15:28:39
Type 1,2020-02-15 15:26:43,,2020-02-15 15:26:43,2020-02-15 15:28:41
Type 1,2020-02-15 15:28:33,2020-02-15 15:28:42,,
Type 2,2020-02-15 15:27:13,,2020-02-15 15:27:13,2020-02-15 15:28:55
Type 2,2020-02-15 15:27:03,,2020-02-15 15:27:03,2020-02-15 15:28:56
Type 2,2020-02-15 15:24:27,,2020-02-15 15:24:49,2020-02-15 15:29:07
Type 1,2020-02-15 15:27:23,,2020-02-15 15:27:23,2020-02-15 15:29:10
Type 1,2020-02-15 15:27:13,,2020-02-15 15:27:13,2020-02-15 15:29:11
Type 2,2020-02-15 15:25:59,,2020-02-15 15:25:59,2020-02-15 15:29:27
Type 2,2020-02-15 15:29:12,2020-02-15 15:29:34,,
Type 1,2020-02-15 15:27:16,,2020-02-15 15:27:16,2020-02-15 15:29:40
Type 2,2020-02-15 15:27:39,,2020-02-15 15:27:46,2020-02-15 15:29:40
Type 1,2020-02-15 15:29:13,2020-02-15 15:29:47,,
Type 1,2020-02-15 15:29:11,2020-02-15 15:29:48,,
Type 2,2020-02-15 15:26:14,,2020-02-15 15:26:14,2020-02-15 15:30:05
Type 1,2020-02-15 15:27:54,,2020-02-15 15:28:08,2020-02-15 15:30:07
Type 1,2020-02-15 15:28:20,,2020-02-15 15:28:33,2020-02-15 15:30:18
Type 2,2020-02-15 15:28:05,,2020-02-15 15:28:28,2020-02-15 15:30:27
Type 1,2020-02-15 15:28:47,,2020-02-15 15:29:07,2020-02-15 15:30:32
Type 2,2020-02-15 15:26:21,,2020-02-15 15:26:21,2020-02-15 15:30:34
Type 2,2020-02-15 15:28:43,,2020-02-15 15:28:56,2020-02-15 15:30:37
Type 2,2020-02-15 15:28:15,,2020-02-15 15:28:32,2020-02-15 15:30:44
Type 2,2020-02-15 15:28:21,,2020-02-15 15:28:39,2020-02-15 15:30:44
Type 2,2020-02-15 15:27:39,,2020-02-15 15:27:52,2020-02-15 15:30:58
Type 1,2020-02-15 15:27:26,,2020-02-15 15:27:26,2020-02-15 15:30:59
Type 2,2020-02-15 15:29:04,,2020-02-15 15:29:40,2020-02-15 15:31:02
Type 2,2020-02-15 15:27:33,,2020-02-15 15:27:34,2020-02-15 15:31:03
Type 1,2020-02-15 15:29:33,,2020-02-15 15:30:18,2020-02-15 15:31:15
Type 1,2020-02-15 15:29:30,,2020-02-15 15:30:07,2020-02-15 15:31:23
Type 2,2020-02-15 15:31:19,2020-02-15 15:31:23,,
Type 1,2020-02-15 15:28:49,,2020-02-15 15:29:10,2020-02-15 15:31:30
Type 2,2020-02-15 15:27:45,,2020-02-15 15:27:56,2020-02-15 15:31:38
Type 1,2020-02-15 15:28:52,,2020-02-15 15:29:11,2020-02-15 15:31:41
Type 1,2020-02-15 15:31:44,2020-02-15 15:31:46,,
Type 1,2020-02-15 15:31:48,2020-02-15 15:31:49,,
Type 1,2020-02-15 15:30:30,,2020-02-15 15:30:32,2020-02-15 15:32:03
Type 2,2020-02-15 15:28:31,,2020-02-15 15:28:41,2020-02-15 15:32:06
Type 1,2020-02-15 15:32:13,2020-02-15 15:32:18,,
Type 2,2020-02-15 15:32:03,2020-02-15 15:32:21,,
Type 2,2020-02-15 15:29:04,,2020-02-15 15:29:40,2020-02-15 15:32:23
Type 1,2020-02-15 15:32:21,2020-02-15 15:32:23,,
Type 2,2020-02-15 15:32:34,2020-02-15 15:32:36,,
Type 1,2020-02-15 15:30:44,,2020-02-15 15:30:58,2020-02-15 15:32:41
Type 1,2020-02-15 15:31:13,,2020-02-15 15:31:30,2020-02-15 15:32:43
Type 1,2020-02-15 15:32:29,2020-02-15 15:32:44,,
Type 1,2020-02-15 15:31:03,,2020-02-15 15:31:03,2020-02-15 15:32:47
Type 1,2020-02-15 15:30:39,,2020-02-15 15:30:44,2020-02-15 15:32:49
Type 2,2020-02-15 15:29:04,,2020-02-15 15:29:27,2020-02-15 15:32:50
Type 1,2020-02-15 15:31:28,,2020-02-15 15:31:41,2020-02-15 15:33:03
Type 1,2020-02-15 15:30:49,,2020-02-15 15:30:59,2020-02-15 15:33:12
Type 2,2020-02-15 15:31:02,,2020-02-15 15:31:02,2020-02-15 15:33:14
Type 1,2020-02-15 15:31:12,,2020-02-15 15:31:23,2020-02-15 15:33:21
Type 1,2020-02-15 15:28:34,,2020-02-15 15:28:55,2020-02-15 15:33:24
Type 2,2020-02-15 15:29:14,,2020-02-15 15:30:05,2020-02-15 15:33:29
Type 1,2020-02-15 15:31:55,,2020-02-15 15:32:03,2020-02-15 15:33:44
Type 1,2020-02-15 15:32:04,,2020-02-15 15:32:23,2020-02-15 15:33:46
Type 2,2020-02-15 15:30:40,,2020-02-15 15:30:44,2020-02-15 15:33:50
Type 1,2020-02-15 15:29:45,,2020-02-15 15:30:27,2020-02-15 15:33:53
Type 2,2020-02-15 15:30:37,,2020-02-15 15:30:37,2020-02-15 15:34:06
Type 1,2020-02-15 15:30:38,,2020-02-15 15:30:38,2020-02-15 15:34:11
Type 2,2020-02-15 15:31:05,,2020-02-15 15:31:15,2020-02-15 15:34:19
Type 2,2020-02-15 15:34:01,2020-02-15 15:34:21,,
Type 1,2020-02-15 15:31:55,,2020-02-15 15:32:06,2020-02-15 15:34:23
Type 1,2020-02-15 15:32:52,,2020-02-15 15:32:52,2020-02-15 15:34:32
Type 2,2020-02-15 15:33:25,,2020-02-15 15:33:25,2020-02-15 15:34:36
Type 1,2020-02-15 15:32:46,,2020-02-15 15:32:49,2020-02-15 15:34:38
Type 2,2020-02-15 15:33:04,,2020-02-15 15:33:12,2020-02-15 15:34:47
Type 1,2020-02-15 15:33:30,,2020-02-15 15:33:30,2020-02-15 15:34:47
Type 1,2020-02-15 15:34:47,2020-02-15 15:35:08,,
Type 2,2020-02-15 15:32:26,,2020-02-15 15:32:43,2020-02-15 15:35:09
Type 2,2020-02-15 15:32:19,,2020-02-15 15:32:41,2020-02-15 15:35:10
Type 1,2020-02-15 15:34:44,2020-02-15 15:35:17,,
Type 2,2020-02-15 15:33:42,,2020-02-15 15:33:53,2020-02-15 15:35:19
Type 1,2020-02-15 15:35:20,2020-02-15 15:35:22,,
Type 1,2020-02-15 15:35:22,2020-02-15 15:35:25,,
Type 1,2020-02-15 15:33:35,,2020-02-15 15:33:44,2020-02-15 15:35:38
Type 1,2020-02-15 15:34:00,,2020-02-15 15:34:19,2020-02-15 15:35:44
Type 1,2020-02-15 15:33:42,,2020-02-15 15:33:50,2020-02-15 15:35:53
Type 1,2020-02-15 15:35:40,2020-02-15 15:35:58,,
Type 2,2020-02-15 15:33:41,,2020-02-15 15:33:46,2020-02-15 15:36:09
Type 1,2020-02-15 15:34:32,,2020-02-15 15:34:47,2020-02-15 15:36:12
Type 2,2020-02-15 15:31:24,,2020-02-15 15:31:38,2020-02-15 15:36:13
Type 1,2020-02-15 15:34:00,,2020-02-15 15:34:23,2020-02-15 15:36:15
Type 1,2020-02-15 15:34:00,,2020-02-15 15:34:11,2020-02-15 15:36:22
Type 1,2020-02-15 15:34:11,,2020-02-15 15:34:32,2020-02-15 15:36:24
Type 2,2020-02-15 15:32:57,,2020-02-15 15:33:03,2020-02-15 15:36:49
Type 2,2020-02-15 15:34:24,,2020-02-15 15:34:38,2020-02-15 15:37:02
Type 1,2020-02-15 15:36:25,2020-02-15 15:37:03,,
Type 2,2020-02-15 15:33:32,,2020-02-15 15:33:32,2020-02-15 15:37:10
Type 1,2020-02-15 15:33:17,,2020-02-15 15:33:17,2020-02-15 15:37:18
Type 1,2020-02-15 15:35:33,,2020-02-15 15:36:09,2020-02-15 15:37:24
Type 1,2020-02-15 15:37:03,2020-02-15 15:37:27,,
Type 1,2020-02-15 15:35:25,,2020-02-15 15:35:44,2020-02-15 15:37:32
Type 1,2020-02-15 15:34:31,,2020-02-15 15:34:47,2020-02-15 15:37:38
Type 2,2020-02-15 15:32:34,,2020-02-15 15:32:47,2020-02-15 15:37:41
Type 2,2020-02-15 15:33:45,,2020-02-15 15:34:06,2020-02-15 15:37:42
Type 2,2020-02-15 15:36:09,,2020-02-15 15:36:22,2020-02-15 15:37:51
Type 1,2020-02-15 15:35:29,,2020-02-15 15:35:53,2020-02-15 15:37:51
Type 2,2020-02-15 15:37:28,2020-02-15 15:37:56,,
Type 1,2020-02-15 15:35:52,,2020-02-15 15:36:15,2020-02-15 15:38:02
Type 1,2020-02-15 15:37:38,2020-02-15 15:38:05,,
Type 2,2020-02-15 15:38:05,2020-02-15 15:38:06,,
Type 1,2020-02-15 15:34:43,,2020-02-15 15:35:19,2020-02-15 15:38:08
Type 1,2020-02-15 15:36:14,,2020-02-15 15:36:49,2020-02-15 15:38:10
Type 1,2020-02-15 15:36:13,,2020-02-15 15:36:24,2020-02-15 15:38:18
Type 2,2020-02-15 15:34:37,,2020-02-15 15:35:09,2020-02-15 15:38:19
Type 1,2020-02-15 15:34:14,,2020-02-15 15:34:36,2020-02-15 15:38:24
Type 2,2020-02-15 15:34:42,,2020-02-15 15:35:10,2020-02-15 15:38:36
Type 1,2020-02-15 15:36:24,,2020-02-15 15:37:24,2020-02-15 15:38:42
Type 2,2020-02-15 15:35:18,,2020-02-15 15:35:38,2020-02-15 15:38:43
Type 2,2020-02-15 15:36:36,,2020-02-15 15:37:38,2020-02-15 15:38:53
Type 1,2020-02-15 15:39:07,2020-02-15 15:39:08,,
Type 2,2020-02-15 15:35:49,,2020-02-15 15:36:13,2020-02-15 15:39:08
Type 2,2020-02-15 15:36:17,,2020-02-15 15:37:10,2020-02-15 15:39:09
Type 2,2020-02-15 15:36:24,,2020-02-15 15:37:18,2020-02-15 15:39:35
Type 1,2020-02-15 15:37:01,,2020-02-15 15:37:42,2020-02-15 15:39:35
Type 1,2020-02-15 15:38:22,,2020-02-15 15:38:22,2020-02-15 15:39:40
Type 2,2020-02-15 15:36:34,,2020-02-15 15:37:32,2020-02-15 15:40:03
Type 2,2020-02-15 15:35:42,,2020-02-15 15:36:12,2020-02-15 15:40:04
Type 2,2020-02-15 15:36:17,,2020-02-15 15:37:02,2020-02-15 15:40:04
Type 2,2020-02-15 15:37:58,,2020-02-15 15:38:08,2020-02-15 15:40:19
Type 2,2020-02-15 15:38:13,,2020-02-15 15:38:18,2020-02-15 15:40:25
Type 2,2020-02-15 15:38:47,,2020-02-15 15:38:53,2020-02-15 15:40:32
Type 1,2020-02-15 15:39:00,,2020-02-15 15:39:09,2020-02-15 15:40:44
Type 2,2020-02-15 15:37:35,,2020-02-15 15:38:02,2020-02-15 15:40:52
Type 1,2020-02-15 15:38:42,,2020-02-15 15:38:43,2020-02-15 15:40:54
Type 1,2020-02-15 15:38:32,,2020-02-15 15:38:42,2020-02-15 15:40:57
Type 1,2020-02-15 15:38:27,,2020-02-15 15:38:27,2020-02-15 15:40:58
Type 1,2020-02-15 15:37:15,,2020-02-15 15:37:51,2020-02-15 15:41:10
Type 1,2020-02-15 15:38:48,,2020-02-15 15:39:08,2020-02-15 15:41:20
Type 2,2020-02-15 15:38:08,,2020-02-15 15:38:10,2020-02-15 15:41:22
Type 2,2020-02-15 15:36:53,,2020-02-15 15:37:41,2020-02-15 15:41:25
Type 1,2020-02-15 15:40:16,,2020-02-15 15:40:16,2020-02-15 15:41:36
Type 1,2020-02-15 15:39:42,,2020-02-15 15:39:42,2020-02-15 15:41:49
Type 2,2020-02-15 15:38:32,,2020-02-15 15:38:36,2020-02-15 15:41:52
Type 2,2020-02-15 15:37:21,,2020-02-15 15:37:51,2020-02-15 15:41:55
Type 1,2020-02-15 15:40:26,,2020-02-15 15:40:26,2020-02-15 15:42:04
Type 2,2020-02-15 15:41:01,,2020-02-15 15:41:01,2020-02-15 15:42:29
Type 1,2020-02-15 15:40:46,,2020-02-15 15:40:46,2020-02-15 15:42:37
Type 1,2020-02-15 15:39:23,,2020-02-15 15:39:35,2020-02-15 15:42:42
Type 1,2020-02-15 15:41:28,,2020-02-15 15:41:28,2020-02-15 15:42:45
Type 2,2020-02-15 15:41:21,,2020-02-15 15:41:21,2020-02-15 15:42:50
Type 1,2020-02-15 15:42:54,2020-02-15 15:43:02,,
Type 1,2020-02-15 15:41:39,,2020-02-15 15:41:39,2020-02-15 15:43:05
Type 1,2020-02-15 15:43:03,2020-02-15 15:43:10,,
Type 1,2020-02-15 15:42:39,2020-02-15 15:43:11,,
Type 2,2020-02-15 15:40:05,,2020-02-15 15:40:05,2020-02-15 15:43:12
Type 1,2020-02-15 15:41:47,,2020-02-15 15:41:49,2020-02-15 15:43:23
Type 1,2020-02-15 15:41:42,,2020-02-15 15:41:42,2020-02-15 15:43:28
Type 2,2020-02-15 15:42:16,,2020-02-15 15:42:29,2020-02-15 15:43:32
Type 2,2020-02-15 15:39:40,,2020-02-15 15:39:40,2020-02-15 15:43:40
Type 2,2020-02-15 15:39:49,,2020-02-15 15:40:03,2020-02-15 15:43:47
Type 2,2020-02-15 15:41:33,,2020-02-15 15:41:33,2020-02-15 15:43:48
Type 1,2020-02-15 15:42:09,,2020-02-15 15:42:09,2020-02-15 15:43:50
Type 1,2020-02-15 15:42:00,,2020-02-15 15:42:00,2020-02-15 15:44:06
Type 2,2020-02-15 15:41:44,,2020-02-15 15:41:44,2020-02-15 15:44:07
Type 1,2020-02-15 15:40:17,,2020-02-15 15:40:19,2020-02-15 15:44:09
Type 1,2020-02-15 15:42:14,,2020-02-15 15:42:14,2020-02-15 15:44:21
Type 1,2020-02-15 15:43:05,,2020-02-15 15:43:23,2020-02-15 15:44:22
Type 1,2020-02-15 15:42:58,,2020-02-15 15:43:12,2020-02-15 15:44:27
Type 1,2020-02-15 15:44:16,2020-02-15 15:44:28,,
Type 1,2020-02-15 15:42:27,,2020-02-15 15:42:45,2020-02-15 15:44:29
Type 2,2020-02-15 15:41:40,,2020-02-15 15:41:40,2020-02-15 15:44:34
Type 1,2020-02-15 15:40:32,,2020-02-15 15:40:32,2020-02-15 15:44:45
Type 2,2020-02-15 15:41:29,,2020-02-15 15:41:29,2020-02-15 15:44:49
Type 1,2020-02-15 15:44:55,2020-02-15 15:45:06,,
Type 1,2020-02-15 15:42:39,,2020-02-15 15:43:05,2020-02-15 15:45:08
Type 1,2020-02-15 15:44:34,2020-02-15 15:45:28,,
Type 1,2020-02-15 15:43:47,,2020-02-15 15:44:07,2020-02-15 15:45:32
Type 1,2020-02-15 15:43:34,,2020-02-15 15:43:47,2020-02-15 15:45:41
Type 2,2020-02-15 15:42:21,,2020-02-15 15:42:37,2020-02-15 15:45:49
Type 1,2020-02-15 15:43:26,,2020-02-15 15:43:32,2020-02-15 15:45:56
Type 1,2020-02-15 15:44:15,,2020-02-15 15:44:22,2020-02-15 15:46:18
Type 1,2020-02-15 15:44:20,,2020-02-15 15:44:29,2020-02-15 15:46:19
Type 1,2020-02-15 15:44:14,,2020-02-15 15:44:21,2020-02-15 15:46:25
Type 2,2020-02-15 15:43:39,,2020-02-15 15:43:48,2020-02-15 15:46:33
Type 1,2020-02-15 15:42:22,,2020-02-15 15:42:42,2020-02-15 15:46:33
Type 2,2020-02-15 15:43:29,,2020-02-15 15:43:40,2020-02-15 15:46:38
Type 1,2020-02-15 15:42:37,,2020-02-15 15:42:50,2020-02-15 15:46:39
Type 1,2020-02-15 15:44:50,,2020-02-15 15:45:32,2020-02-15 15:46:46
Type 2,2020-02-15 15:43:47,,2020-02-15 15:44:06,2020-02-15 15:46:52
Type 2,2020-02-15 15:46:51,2020-02-15 15:46:53,,
Type 2,2020-02-15 15:44:30,,2020-02-15 15:44:45,2020-02-15 15:47:00
Type 2,2020-02-15 15:43:15,,2020-02-15 15:43:28,2020-02-15 15:47:16
Type 2,2020-02-15 15:44:32,,2020-02-15 15:44:49,2020-02-15 15:47:20
Type 2,2020-02-15 15:45:25,,2020-02-15 15:45:56,2020-02-15 15:47:30
Type 2,2020-02-15 15:44:28,,2020-02-15 15:44:34,2020-02-15 15:47:30
Type 1,2020-02-15 15:46:02,,2020-02-15 15:46:33,2020-02-15 15:47:48
Type 2,2020-02-15 15:43:43,,2020-02-15 15:43:50,2020-02-15 15:47:51
Type 1,2020-02-15 15:46:22,,2020-02-15 15:46:38,2020-02-15 15:47:57
Type 1,2020-02-15 15:46:00,,2020-02-15 15:46:25,2020-02-15 15:48:05
Type 2,2020-02-15 15:46:28,,2020-02-15 15:46:39,2020-02-15 15:48:15
Type 1,2020-02-15 15:48:01,2020-02-15 15:48:17,,
Type 2,2020-02-15 15:44:33,,2020-02-15 15:45:08,2020-02-15 15:48:24
Type 2,2020-02-15 15:48:00,2020-02-15 15:48:27,,
Type 1,2020-02-15 15:47:48,2020-02-15 15:48:29,,
Type 1,2020-02-15 15:44:08,,2020-02-15 15:44:09,2020-02-15 15:48:30
Type 2,2020-02-15 15:46:48,,2020-02-15 15:47:00,2020-02-15 15:48:57
Type 1,2020-02-15 15:46:11,,2020-02-15 15:46:33,2020-02-15 15:48:58
Type 2,2020-02-15 15:44:15,,2020-02-15 15:44:27,2020-02-15 15:49:08
Type 2,2020-02-15 15:45:34,,2020-02-15 15:46:18,2020-02-15 15:49:14
Type 1,2020-02-15 15:49:17,2020-02-15 15:49:22,,
Type 2,2020-02-15 15:45:02,,2020-02-15 15:45:41,2020-02-15 15:49:28
Type 1,2020-02-15 15:48:18,2020-02-15 15:49:33,,
Type 2,2020-02-15 15:49:00,2020-02-15 15:49:39,,
Type 1,2020-02-15 15:49:23,2020-02-15 15:49:39,,
Type 2,2020-02-15 15:45:52,,2020-02-15 15:46:19,2020-02-15 15:49:47
Type 2,2020-02-15 15:49:32,2020-02-15 15:49:47,,
Type 2,2020-02-15 15:45:17,,2020-02-15 15:45:49,2020-02-15 15:49:50
Type 1,2020-02-15 15:47:32,,2020-02-15 15:47:48,2020-02-15 15:49:50
Type 1,2020-02-15 15:49:30,2020-02-15 15:49:50,,
Type 2,2020-02-15 15:46:56,,2020-02-15 15:47:16,2020-02-15 15:50:10
Type 2,2020-02-15 15:47:34,,2020-02-15 15:47:57,2020-02-15 15:50:30
Type 2,2020-02-15 15:47:19,,2020-02-15 15:47:20,2020-02-15 15:50:31
Type 2,2020-02-15 15:50:26,2020-02-15 15:50:32,,
Type 1,2020-02-15 15:49:42,2020-02-15 15:50:38,,
Type 1,2020-02-15 15:50:20,2020-02-15 15:50:41,,
Type 1,2020-02-15 15:47:20,,2020-02-15 15:47:30,2020-02-15 15:50:45
Type 2,2020-02-15 15:46:43,,2020-02-15 15:46:52,2020-02-15 15:50:45
Type 2,2020-02-15 15:50:37,2020-02-15 15:50:46,,
Type 2,2020-02-15 15:48:00,,2020-02-15 15:48:58,2020-02-15 15:50:48
Type 2,2020-02-15 15:47:34,,2020-02-15 15:47:51,2020-02-15 15:50:50
Type 1,2020-02-15 15:48:12,,2020-02-15 15:49:14,2020-02-15 15:50:53
Type 2,2020-02-15 15:47:36,,2020-02-15 15:48:05,2020-02-15 15:50:53
Type 2,2020-02-15 15:47:23,,2020-02-15 15:47:30,2020-02-15 15:50:58
Type 1,2020-02-15 15:50:50,2020-02-15 15:50:59,,
Type 1,2020-02-15 15:50:54,2020-02-15 15:50:59,,
Type 2,2020-02-15 15:46:40,,2020-02-15 15:46:46,2020-02-15 15:51:01
Type 2,2020-02-15 15:47:46,,2020-02-15 15:48:24,2020-02-15 15:51:08
Type 1,2020-02-15 15:48:16,,2020-02-15 15:49:28,2020-02-15 15:51:10
Type 1,2020-02-15 15:48:51,,2020-02-15 15:49:50,2020-02-15 15:51:20
Type 1,2020-02-15 15:48:41,,2020-02-15 15:49:47,2020-02-15 15:51:31
Type 1,2020-02-15 15:51:41,2020-02-15 15:51:48,,
Type 1,2020-02-15 15:47:46,,2020-02-15 15:48:15,2020-02-15 15:51:49
Type 1,2020-02-15 15:47:50,,2020-02-15 15:48:30,2020-02-15 15:52:06
Type 2,2020-02-15 15:52:17,2020-02-15 15:52:29,,
Type 1,2020-02-15 15:50:47,,2020-02-15 15:51:01,2020-02-15 15:52:32
